concept_id,domain,variant_id,base_meaning,headline
1,equity,1,earnings season update signals earnings downgrade for regional equity baskets,earnings season update is signaling earnings downgrade for regional equity baskets.
1,equity,2,earnings season update signals earnings downgrade for regional equity baskets,regional equity baskets are reacting as earnings season update points to earnings downgrade.
1,equity,3,earnings season update signals earnings downgrade for regional equity baskets,"earnings season update now suggests earnings downgrade, putting pressure on regional equity baskets."
1,equity,4,earnings season update signals earnings downgrade for regional equity baskets,regional equity baskets are being repriced because earnings season update indicates earnings downgrade.
1,equity,5,earnings season update signals earnings downgrade for regional equity baskets,"earnings downgrade is being signaled by earnings season update, affecting regional equity baskets."
1,equity,6,earnings season update signals earnings downgrade for regional equity baskets,"After earnings season update, markets are pricing in earnings downgrade for regional equity baskets."
1,equity,7,earnings season update signals earnings downgrade for regional equity baskets,"earnings season update implies earnings downgrade, so regional equity baskets are under review."
1,equity,8,earnings season update signals earnings downgrade for regional equity baskets,Investors read earnings season update as a sign of earnings downgrade for regional equity baskets.
1,equity,9,earnings season update signals earnings downgrade for regional equity baskets,regional equity baskets face renewed risk after earnings season update signaled earnings downgrade.
1,equity,10,earnings season update signals earnings downgrade for regional equity baskets,"earnings downgrade expectations increased following earnings season update, impacting regional equity baskets."
2,rates,1,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,central bank policy statement is signaling rate hike expectations for duration-sensitive bond exposures.
2,rates,2,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,duration-sensitive bond exposures are reacting as central bank policy statement points to rate hike expectations.
2,rates,3,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"central bank policy statement now suggests rate hike expectations, putting pressure on duration-sensitive bond exposures."
2,rates,4,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,duration-sensitive bond exposures are being repriced because central bank policy statement indicates rate hike expectations.
2,rates,5,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"rate hike expectations is being signaled by central bank policy statement, affecting duration-sensitive bond exposures."
2,rates,6,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"After central bank policy statement, markets are pricing in rate hike expectations for duration-sensitive bond exposures."
2,rates,7,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"central bank policy statement implies rate hike expectations, so duration-sensitive bond exposures are under review."
2,rates,8,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,Investors read central bank policy statement as a sign of rate hike expectations for duration-sensitive bond exposures.
2,rates,9,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,duration-sensitive bond exposures face renewed risk after central bank policy statement signaled rate hike expectations.
2,rates,10,central bank policy statement signals rate hike expectations for duration-sensitive bond exposures,"rate hike expectations expectations increased following central bank policy statement, impacting duration-sensitive bond exposures."
3,commodity,1,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity market briefing is signaling raw material shortage for commodity-linked holdings.
3,commodity,2,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity-linked holdings are reacting as commodity market briefing points to raw material shortage.
3,commodity,3,commodity market briefing signals raw material shortage for commodity-linked holdings,"commodity market briefing now suggests raw material shortage, putting pressure on commodity-linked holdings."
3,commodity,4,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity-linked holdings are being repriced because commodity market briefing indicates raw material shortage.
3,commodity,5,commodity market briefing signals raw material shortage for commodity-linked holdings,"raw material shortage is being signaled by commodity market briefing, affecting commodity-linked holdings."
3,commodity,6,commodity market briefing signals raw material shortage for commodity-linked holdings,"After commodity market briefing, markets are pricing in raw material shortage for commodity-linked holdings."
3,commodity,7,commodity market briefing signals raw material shortage for commodity-linked holdings,"commodity market briefing implies raw material shortage, so commodity-linked holdings are under review."
3,commodity,8,commodity market briefing signals raw material shortage for commodity-linked holdings,Investors read commodity market briefing as a sign of raw material shortage for commodity-linked holdings.
3,commodity,9,commodity market briefing signals raw material shortage for commodity-linked holdings,commodity-linked holdings face renewed risk after commodity market briefing signaled raw material shortage.
3,commodity,10,commodity market briefing signals raw material shortage for commodity-linked holdings,"raw material shortage expectations increased following commodity market briefing, impacting commodity-linked holdings."
4,crypto,1,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto regulation hearing is signaling bitcoin volatility for crypto and digital-asset proxies.
4,crypto,2,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto and digital-asset proxies are reacting as crypto regulation hearing points to bitcoin volatility.
4,crypto,3,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"crypto regulation hearing now suggests bitcoin volatility, putting pressure on crypto and digital-asset proxies."
4,crypto,4,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto and digital-asset proxies are being repriced because crypto regulation hearing indicates bitcoin volatility.
4,crypto,5,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"bitcoin volatility is being signaled by crypto regulation hearing, affecting crypto and digital-asset proxies."
4,crypto,6,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"After crypto regulation hearing, markets are pricing in bitcoin volatility for crypto and digital-asset proxies."
4,crypto,7,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"crypto regulation hearing implies bitcoin volatility, so crypto and digital-asset proxies are under review."
4,crypto,8,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,Investors read crypto regulation hearing as a sign of bitcoin volatility for crypto and digital-asset proxies.
4,crypto,9,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,crypto and digital-asset proxies face renewed risk after crypto regulation hearing signaled bitcoin volatility.
4,crypto,10,crypto regulation hearing signals bitcoin volatility for crypto and digital-asset proxies,"bitcoin volatility expectations increased following crypto regulation hearing, impacting crypto and digital-asset proxies."
5,fx,1,FX reserve update signals rmb weakness for currency-sensitive allocations,FX reserve update is signaling rmb weakness for currency-sensitive allocations.
5,fx,2,FX reserve update signals rmb weakness for currency-sensitive allocations,currency-sensitive allocations are reacting as FX reserve update points to rmb weakness.
5,fx,3,FX reserve update signals rmb weakness for currency-sensitive allocations,"FX reserve update now suggests rmb weakness, putting pressure on currency-sensitive allocations."
5,fx,4,FX reserve update signals rmb weakness for currency-sensitive allocations,currency-sensitive allocations are being repriced because FX reserve update indicates rmb weakness.
5,fx,5,FX reserve update signals rmb weakness for currency-sensitive allocations,"rmb weakness is being signaled by FX reserve update, affecting currency-sensitive allocations."
5,fx,6,FX reserve update signals rmb weakness for currency-sensitive allocations,"After FX reserve update, markets are pricing in rmb weakness for currency-sensitive allocations."
