concept_id,domain,avg_topk_jaccard,top1_consistency,avg_score_corr_ticker_pearson,avg_score_corr_ticker_spearman,avg_rank_score_corr,avg_score_gap_delta,avg_score_spread,avg_tie_bucket_jaccard,variants
1,equity,0.3694,0.9,-0.4152,0.0886,0.8966,0.0035,0.0063,0.3947,10
2,rates,0.6921,0.9,0.0322,0.4623,0.9233,0.005,0.0116,0.4836,10
3,commodity,0.5339,0.6,0.2255,0.2813,0.8229,0.0234,0.0799,0.3641,10
4,crypto,0.6291,1.0,0.069,0.6062,0.9945,0.0044,0.0176,0.8667,10
5,fx,0.4875,0.9,-0.277,0.2288,0.8584,0.0021,0.0078,0.501,10
6,credit,0.4952,0.5,-0.2913,0.2087,0.9086,0.0036,0.0072,0.4762,10
7,china,0.4571,0.7,-0.1053,0.4907,0.9848,0.0046,0.0163,0.7885,10
8,us_macro,0.4024,0.9,-0.2746,0.3679,0.9015,0.0035,0.0113,0.4223,10
9,tech,0.3673,0.8,-0.4508,-0.029,0.938,0.0021,0.0051,0.3673,10
10,money_market,0.8688,0.5,0.0976,0.2923,0.9295,0.004,0.0079,0.7658,10
11,equity,0.5619,0.9,-0.17,0.2684,0.8673,0.0027,0.0085,0.5292,10
12,rates,0.7376,1.0,0.2597,0.7881,0.9576,0.0033,0.0122,0.6796,10
13,commodity,0.9333,0.5,0.6355,0.6949,0.9154,0.0193,0.0187,0.6659,10
14,crypto,0.3704,0.4,-0.4903,-0.2828,0.9128,0.0018,0.0039,0.3704,10
15,fx,0.6762,0.4,-0.112,0.2651,0.8945,0.0023,0.006,0.6762,10
16,credit,0.555,0.6,-0.2398,0.1852,0.937,0.0023,0.0056,0.555,10
17,china,0.6476,0.7,0.1148,0.6932,0.8246,0.0381,0.0425,0.5822,10
18,us_macro,0.6646,0.9,-0.0193,0.4003,0.9037,0.004,0.0092,0.555,10
19,tech,0.4049,0.5,-0.4081,-0.0527,0.8987,0.0036,0.0062,0.4297,10
20,money_market,0.613,0.4,-0.2059,0.2199,0.8802,0.0022,0.0057,0.613,10
21,equity,0.5582,0.7,-0.1621,0.098,0.9258,0.0027,0.005,0.5582,10
22,rates,0.6688,0.9,-0.0057,0.4717,0.9458,0.0049,0.0117,0.48,10
23,commodity,0.5466,0.4,-0.1857,-0.0455,0.8826,0.0366,0.0721,0.237,10
24,crypto,0.4426,0.4,-0.3683,0.0864,0.9279,0.0026,0.0049,0.4426,10
25,fx,0.6048,0.5,-0.0374,0.5707,0.9015,0.0075,0.0116,0.5117,10
26,credit,0.5574,0.5,-0.2646,-0.0764,0.8964,0.0027,0.0061,0.5319,10
27,china,0.5751,0.6,-0.0151,0.5767,0.8219,0.0393,0.0366,0.6437,10
28,us_macro,0.6177,0.9,0.0259,0.6213,0.9163,0.0039,0.0102,0.5088,10
29,tech,0.5267,1.0,-0.0979,0.4876,0.9865,0.0034,0.0192,1.0,10
30,money_market,0.4765,0.6,-0.324,0.0783,0.9101,0.0047,0.0075,0.4019,10
