domain,concepts,avg_topk_jaccard,avg_top1_consistency,avg_score_corr_ticker_pearson,avg_score_corr_ticker_spearman,avg_rank_score_corr,avg_score_gap_delta,avg_score_spread
china,10,0.4466,0.66,-0.2956,0.2072,0.884,0.0102,0.0122
commodity,10,0.5919,0.61,0.0782,0.2546,0.7735,0.0184,0.0835
credit,10,0.7116,0.52,0.0138,0.446,0.905,0.0034,0.0088
crypto,10,0.6896,0.77,0.0502,0.5677,0.9349,0.0026,0.009
equity,10,0.5882,0.57,-0.1274,0.3626,0.8953,0.0032,0.0082
fx,10,0.6461,0.57,-0.0391,0.3432,0.8948,0.0032,0.0089
money_market,10,0.6554,0.635,0.0925,0.6596,0.9166,0.003,0.0106
rates,10,0.7234,0.425,0.0728,0.4782,0.9124,0.003,0.0094
tech,10,0.4949,0.51,-0.2489,0.2585,0.8804,0.0038,0.0076
us_macro,10,0.7166,0.575,0.0219,0.3923,0.8907,0.0028,0.0079
