sentence_id,text
0,1 PRODUCT KEY FACTS W.I.S.E.
1,– SSE 50 China Tracker® a sub-fund of the World Index Shares ETFs 29 April 2025 Issuer: BOCI-Prudential Asset Management Limited ⚫ This is a passive exchange traded fund.
2,⚫ This statement provides you with key information about this product.
3,⚫ This statement is a part of the Prospectus.
4,⚫ You should not invest in this product based on this statement alone.
5,"Quick facts Stock code: 03024 Trading lot size: 100 Units Fund Manager: BOCI-Prudential Asset Management Limited (the “Manager”) Trustee: Cititrust Limited Custodian: Citibank, N.A., Hong Kong Branch Administrator: Citibank, N.A., Hong Kong Branch Ongoing charges over a year ＃ : 0.89% Underlying index: SSE 50 Index Tracking difference of the last calendar year##: -1.03% Base currency: Hong Kong Dollars Distribution policy: - Annually (if any) at the discretion of the Manager - Distributions will normally be made out of net income received or receivable by the Sub-Fund but the Manager may in its absolute discretion determine that distributions be paid out of capital."
6,Any distributions involving payment of distributions out of ca pital or payment of distributions effectively out of capital (as the case may be) may result in an immediate decrease in the Net Asset Value per Unit.
7,Financial year end: 31 December ETF Website^: www.boci-pru.com.hk/english/etf/intro.aspx (for English) www.boci-pru.com.hk/chinese/etf/intro.aspx (for Chinese) # The ongoing charges figure is based on expenses for the period ended 31 December 2024.
8,This figure may vary from year to year.
9,"The expenses include (without limitation) management fee and charges and payments deducted from the assets of the Sub -Fund on a periodic basis but do not include certain items such as payments to third parties regarding costs incurred in relation to the acquisition or disposal of any assets of the Sub -Fund, withholding tax and capital gains tax (if applicable)."
10,##This is the actual tracking difference of the last calendar year.
11,Investors should refer to the website of the Sub -Fund for more up-to-date information on actual tracking difference.
12,W.I.S.E.
13,– SSE 50 China Tracker® 2 What is this product?
14,"W.I.S.E.－SSE 50 China Tracker® (the “Sub-Fund”) is a fund constituted in the form of a unit trust and is a sub-fund under the World Index Shares ETFs, which is an umbrella unit trust established under the laws of Hong Kong."
15,The Units of the Sub-Fund are listed on the Stock Exchange of Hong Kong Limited (“ SEHK”).
16,The Sub-Fund is a passively managed index tracking exchange traded fund falling under Chapter 8.6 of t he Code on Unit Trusts and Mutual Funds.
17,These units are traded on the SEHK essentially like shares.
18,Objective and Investment Strategy Objective The Sub -Fund is an index -tracking exchange traded fund which seeks to provide investment performance (before taxes) that tracks the performance of the SSE 50 Index (the “ Underlying Index”).
19,"Strategy In order to achieve the investment objective of the Sub -Fund, the Manager will adopt a representative sampling strategy for the Sub -Fund."
20,"The Sub-Fund, at present, invests directly in A Shares via the Shanghai-Hong Kong Stock Connect."
21,Shanghai-Hong Kong Stock Connect is a securities trading and clearing linked programme with an aim to achieve mutual stock market access between mainland China and Hong Kong.
22,"As a result of the representative sampling strategy of the Sub-Fund, the Manager may overweight the A Shares directly held relative to the relevant A Shares' respective weightings in the Underlying Index on the condition that the maximum extra weighting in any underlying A Shares will not exceed four per cent (4%) under normal circumstances."
23,"In addition, the Sub -Fund may have holding of Securities which are non-constituent stocks from time to time in circumstances which are independent of the Manager, including where trading in a constituent security has been suspended, such holding results from a corporate action of a constituent security, or the portfolio is being rebalanced in anticipation or response to a rebalance of the Underlying Index."
24,"The Sub-Fund will not invest in any structured products and financial derivative instruments and will not enter into any repurchase agreements, stock lending transactions or other similar over-the- counter transactions."
25,"Underlying Index The Underlying Index is an index consisting of 50 constituent stocks which are the 50 largest stocks of good liquidity listed on the Shanghai Stock Exchange, and it is estimated that as of 2 April 2025, the 50 constituent stocks of the Underlying Index represent around 38.81% of the total market capitalisation of the Shanghai Stock Exchange."
26,"The objective of the Underlying Index is to reflect the performance of the good quality large enterprises, which are influential in the Shanghai Stock Exchange."
27,The Underlying Index is a free-float market capitalisation weighted index.
28,"The Shanghai Stock Exchange has appointed China Securities Index Co., Ltd."
29,"(“ CSI”), a joint venture between the Shenzhen Stock Exchange and Shanghai Stock Exchange, to manage the Underlying Index."
30,CSI is independent of the Manager.
31,The Underlying Index was formally launched on 2 January 2004.
32,The list of constituent stocks of the Underlying Index with their respective weightings are available on the website of CSI^ (www.csindex.com.cn).
33,Investors should note that the list of constituent stocks of the Underlying Index may be updated from time to time.
34,"For further information relating to the Underlying Index, please refer to the website of CSI ^ (www.csindex.com.cn) and the website of Shanghai Stock Exchange^ (www.sse.com.cn)."
35,W.I.S.E.
36,– SSE 50 China Tracker® 3 Use of derivatives / investment in derivatives The Sub-Fund will not use derivatives for any purposes.
37,What are the key risks?
38,Investment involves risks.
39,Please also refer to the Prospectus for details including the risk factors.
40,General investment risk The Sub-Fund's investment portfolio may fall in value due to any of the key risk factors below and therefore your investment in the Sub-Fund may suffer losses.
41,There is no guarantee in respect of repayment of principal.
42,PRC market / emerging market risk / single country concentration risk • The Sub-Fund invests primarily in securities related to a single country market (i.e.
43,PRC market).
44,The value of the Sub -Fund may be more volatile than that of a fund having a more diverse portfolio of investments.
45,"The value of the Sub-Fund may be more susceptible to adverse economic, political, policy, foreign exchange, liquidity, tax, legal or regulatory event affecting the PRC market."
46,"• The Sub -Fund invests in an emerging market / the PRC market , which may involve increased risks and special considerations not typically associated with investment in more developed markets, such as liquidity risks, currency risks/control, settlement risks, custody risk and the likelihood of a high degree of volatility."
47,• High market volatility and potential settlement difficulties in the Mainland China equity market may result in significant fluctuations in the prices of the securities traded on such market and thereby may have an adverse impact on the Sub-Fund.
48,• Securities exchanges in the PRC typically have the right to suspend or limit trading in any security traded on the relevant exchange.
49,The government or the regulators may also implement policies that may affect the financial markets.
50,All these may have a nega tive impact on the Sub-Fund.
51,Passive investment risk The Sub-Fund is passively managed.
52,"Due to the inherent nature of the Sub-Fund, the Manager will not have the discretion to adapt to market changes and may not take an active role in defending the position of the Sub-Fund in declining markets."
53,"Hence, any fall in the Underlying Index will result in a corresponding fall in the value of the Sub-Fund."
54,"Tracking error risk The Sub-Fund may be subject to tracking error risk, which is the risk that its performance may not track that of the Underlying Index exactly."
55,"This tracking error may result from the investment strategy used, and fees and expenses."
56,The Manager will monitor and seek to manage such risk in minimising tracking error.
57,There can be no assurance of exact or identical replication at any time of the performance of the Underlying Index.
