domain,concepts,avg_topk_jaccard,avg_top1_consistency,avg_score_corr_ticker_pearson,avg_score_corr_ticker_spearman,avg_rank_score_corr,avg_score_gap_delta,avg_score_spread,avg_tie_bucket_jaccard
china,10,0.5894,0.675,-0.0061,0.5534,0.8837,0.0245,0.028,0.6735
commodity,10,0.674,0.565,0.2644,0.3475,0.843,0.023,0.0583,0.477
credit,10,0.544,0.515,-0.2423,0.1752,0.911,0.0028,0.0062,0.5288
crypto,10,0.4895,0.67,-0.2285,0.1589,0.9437,0.0028,0.0099,0.6089
equity,10,0.4889,0.79,-0.263,0.2279,0.8932,0.0027,0.0066,0.495
fx,10,0.605,0.68,-0.1027,0.3806,0.9032,0.0034,0.0081,0.5823
money_market,10,0.665,0.5,-0.093,0.265,0.9163,0.0033,0.0072,0.6434
rates,10,0.715,0.93,0.1295,0.571,0.9407,0.0044,0.0119,0.5529
tech,10,0.4323,0.66,-0.3247,0.1155,0.9289,0.0028,0.0094,0.5361
us_macro,10,0.5623,0.825,-0.0995,0.4872,0.9154,0.0034,0.0107,0.5383
