concept_id,domain,avg_topk_jaccard,top1_consistency,avg_score_corr_ticker_pearson,avg_score_corr_ticker_spearman,avg_rank_score_corr,avg_score_gap_delta,avg_score_spread,avg_tie_bucket_jaccard,variants
1,equity,0.3489,0.85,-0.4395,0.113,0.9086,0.0031,0.0067,0.3668,20
2,rates,0.6875,0.9,0.0428,0.4717,0.9382,0.0046,0.0117,0.4938,20
3,commodity,0.5887,0.7,0.3282,0.4023,0.7964,0.0174,0.0835,0.4697,20
4,crypto,0.6346,1.0,0.0866,0.5938,0.9915,0.0042,0.0185,0.9333,20
5,fx,0.5414,0.95,-0.1728,0.2956,0.9096,0.0023,0.0073,0.5501,20
6,credit,0.5302,0.5,-0.2401,0.2787,0.9081,0.0032,0.0072,0.4964,20
7,china,0.4736,0.75,-0.1906,0.4767,0.9401,0.0106,0.0183,0.7446,20
8,us_macro,0.4099,0.75,-0.2826,0.3963,0.9181,0.0033,0.0113,0.5141,20
9,tech,0.3696,0.6,-0.4521,-0.0517,0.9164,0.0022,0.0047,0.3696,20
10,money_market,0.8163,0.5,0.0965,0.379,0.9294,0.0033,0.0079,0.7938,20
11,equity,0.6226,0.85,-0.0687,0.4613,0.865,0.0027,0.0086,0.6193,20
12,rates,0.7842,1.0,0.364,0.8184,0.9561,0.0037,0.0121,0.6822,20
13,commodity,0.9667,0.55,0.6637,0.6659,0.8909,0.0159,0.0175,0.7084,20
14,crypto,0.3317,0.45,-0.526,-0.2775,0.9044,0.002,0.0036,0.3317,20
15,fx,0.6646,0.45,-0.1046,0.2389,0.8995,0.0021,0.006,0.6646,20
16,credit,0.5296,0.6,-0.2479,0.2009,0.9183,0.0028,0.0059,0.5385,20
17,china,0.7226,0.7,0.2331,0.693,0.8426,0.0351,0.039,0.6346,20
18,us_macro,0.703,0.95,0.0434,0.4366,0.9144,0.004,0.0099,0.5604,20
19,tech,0.3961,0.4,-0.4218,-0.053,0.8905,0.0031,0.0059,0.4064,20
20,money_market,0.6298,0.35,-0.1446,0.2836,0.8989,0.0023,0.0058,0.6372,20
21,equity,0.5418,0.65,-0.2218,0.1476,0.9009,0.0022,0.0046,0.5418,20
22,rates,0.6825,0.9,0.0106,0.4561,0.9285,0.0048,0.0121,0.5023,20
23,commodity,0.4951,0.4,-0.22,-0.0441,0.8571,0.0377,0.0656,0.2553,20
24,crypto,0.4537,0.45,-0.3511,0.0154,0.9193,0.0018,0.0047,0.4537,20
25,fx,0.6302,0.55,-0.0074,0.6356,0.8985,0.0062,0.0114,0.5429,20
26,credit,0.5768,0.45,-0.2397,0.0114,0.9075,0.0023,0.0053,0.5624,20
27,china,0.6105,0.55,0.0008,0.5162,0.8495,0.0323,0.0298,0.6177,20
28,us_macro,0.6249,0.8,0.0018,0.6591,0.9129,0.003,0.0106,0.5484,20
29,tech,0.5522,1.0,-0.0577,0.5069,0.9841,0.0033,0.0192,0.8877,20
30,money_market,0.4983,0.65,-0.2942,0.0944,0.9162,0.0044,0.0076,0.4489,20
31,equity,0.3489,0.85,-0.4395,0.113,0.9086,0.0031,0.0067,0.3668,20
32,rates,0.6875,0.9,0.0428,0.4717,0.9382,0.0046,0.0117,0.4938,20
33,commodity,0.5887,0.7,0.3282,0.4023,0.7964,0.0174,0.0835,0.4697,20
34,crypto,0.6346,1.0,0.0866,0.5938,0.9915,0.0042,0.0185,0.9333,20
35,fx,0.5414,0.95,-0.1728,0.2956,0.9096,0.0023,0.0073,0.5501,20
36,credit,0.5302,0.5,-0.2401,0.2787,0.9081,0.0032,0.0072,0.4964,20
37,china,0.4736,0.75,-0.1906,0.4767,0.9401,0.0106,0.0183,0.7446,20
38,us_macro,0.4099,0.75,-0.2826,0.3963,0.9181,0.0033,0.0113,0.5141,20
39,tech,0.3696,0.6,-0.4521,-0.0517,0.9164,0.0022,0.0047,0.3696,20
40,money_market,0.8163,0.5,0.0965,0.379,0.9294,0.0033,0.0079,0.7938,20
41,equity,0.6226,0.85,-0.0687,0.4613,0.865,0.0027,0.0086,0.6193,20
42,rates,0.7842,1.0,0.364,0.8184,0.9561,0.0037,0.0121,0.6822,20
43,commodity,0.9667,0.55,0.6637,0.6659,0.8909,0.0159,0.0175,0.7084,20
44,crypto,0.3317,0.45,-0.526,-0.2775,0.9044,0.002,0.0036,0.3317,20
45,fx,0.6646,0.45,-0.1046,0.2389,0.8995,0.0021,0.006,0.6646,20
46,credit,0.5296,0.6,-0.2479,0.2009,0.9183,0.0028,0.0059,0.5385,20
47,china,0.7226,0.7,0.2331,0.693,0.8426,0.0351,0.039,0.6346,20
48,us_macro,0.703,0.95,0.0434,0.4366,0.9144,0.004,0.0099,0.5604,20
49,tech,0.3961,0.4,-0.4218,-0.053,0.8905,0.0031,0.0059,0.4064,20
50,money_market,0.6298,0.35,-0.1446,0.2836,0.8989,0.0023,0.0058,0.6372,20
51,equity,0.5418,0.65,-0.2218,0.1476,0.9009,0.0022,0.0046,0.5418,20
52,rates,0.6825,0.9,0.0106,0.4561,0.9285,0.0048,0.0121,0.5023,20
53,commodity,0.4951,0.4,-0.22,-0.0441,0.8571,0.0377,0.0656,0.2553,20
54,crypto,0.4537,0.45,-0.3511,0.0154,0.9193,0.0018,0.0047,0.4537,20
55,fx,0.6302,0.55,-0.0074,0.6356,0.8985,0.0062,0.0114,0.5429,20
56,credit,0.5768,0.45,-0.2397,0.0114,0.9075,0.0023,0.0053,0.5624,20
57,china,0.6105,0.55,0.0008,0.5162,0.8495,0.0323,0.0298,0.6177,20
58,us_macro,0.6249,0.8,0.0018,0.6591,0.9129,0.003,0.0106,0.5484,20
59,tech,0.5522,1.0,-0.0577,0.5069,0.9841,0.0033,0.0192,0.8877,20
60,money_market,0.4983,0.65,-0.2942,0.0944,0.9162,0.0044,0.0076,0.4489,20
61,equity,0.3489,0.85,-0.4395,0.113,0.9086,0.0031,0.0067,0.3668,20
62,rates,0.6875,0.9,0.0428,0.4717,0.9382,0.0046,0.0117,0.4938,20
63,commodity,0.5887,0.7,0.3282,0.4023,0.7964,0.0174,0.0835,0.4697,20
64,crypto,0.6346,1.0,0.0866,0.5938,0.9915,0.0042,0.0185,0.9333,20
65,fx,0.5414,0.95,-0.1728,0.2956,0.9096,0.0023,0.0073,0.5501,20
66,credit,0.5302,0.5,-0.2401,0.2787,0.9081,0.0032,0.0072,0.4964,20
67,china,0.4736,0.75,-0.1906,0.4767,0.9401,0.0106,0.0183,0.7446,20
68,us_macro,0.4099,0.75,-0.2826,0.3963,0.9181,0.0033,0.0113,0.5141,20
69,tech,0.3696,0.6,-0.4521,-0.0517,0.9164,0.0022,0.0047,0.3696,20
70,money_market,0.8163,0.5,0.0965,0.379,0.9294,0.0033,0.0079,0.7938,20
71,equity,0.6226,0.85,-0.0687,0.4613,0.865,0.0027,0.0086,0.6193,20
72,rates,0.7842,1.0,0.364,0.8184,0.9561,0.0037,0.0121,0.6822,20
73,commodity,0.9667,0.55,0.6637,0.6659,0.8909,0.0159,0.0175,0.7084,20
74,crypto,0.3317,0.45,-0.526,-0.2775,0.9044,0.002,0.0036,0.3317,20
75,fx,0.6646,0.45,-0.1046,0.2389,0.8995,0.0021,0.006,0.6646,20
76,credit,0.5296,0.6,-0.2479,0.2009,0.9183,0.0028,0.0059,0.5385,20
77,china,0.7226,0.7,0.2331,0.693,0.8426,0.0351,0.039,0.6346,20
78,us_macro,0.703,0.95,0.0434,0.4366,0.9144,0.004,0.0099,0.5604,20
79,tech,0.3961,0.4,-0.4218,-0.053,0.8905,0.0031,0.0059,0.4064,20
80,money_market,0.6298,0.35,-0.1446,0.2836,0.8989,0.0023,0.0058,0.6372,20
81,equity,0.5418,0.65,-0.2218,0.1476,0.9009,0.0022,0.0046,0.5418,20
82,rates,0.6825,0.9,0.0106,0.4561,0.9285,0.0048,0.0121,0.5023,20
83,commodity,0.4951,0.4,-0.22,-0.0441,0.8571,0.0377,0.0656,0.2553,20
84,crypto,0.4537,0.45,-0.3511,0.0154,0.9193,0.0018,0.0047,0.4537,20
85,fx,0.6302,0.55,-0.0074,0.6356,0.8985,0.0062,0.0114,0.5429,20
86,credit,0.5768,0.45,-0.2397,0.0114,0.9075,0.0023,0.0053,0.5624,20
87,china,0.6105,0.55,0.0008,0.5162,0.8495,0.0323,0.0298,0.6177,20
88,us_macro,0.6249,0.8,0.0018,0.6591,0.9129,0.003,0.0106,0.5484,20
89,tech,0.5522,1.0,-0.0577,0.5069,0.9841,0.0033,0.0192,0.8877,20
90,money_market,0.4983,0.65,-0.2942,0.0944,0.9162,0.0044,0.0076,0.4489,20
91,equity,0.3489,0.85,-0.4395,0.113,0.9086,0.0031,0.0067,0.3668,20
92,rates,0.6875,0.9,0.0428,0.4717,0.9382,0.0046,0.0117,0.4938,20
93,commodity,0.5887,0.7,0.3282,0.4023,0.7964,0.0174,0.0835,0.4697,20
94,crypto,0.6346,1.0,0.0866,0.5938,0.9915,0.0042,0.0185,0.9333,20
95,fx,0.5414,0.95,-0.1728,0.2956,0.9096,0.0023,0.0073,0.5501,20
96,credit,0.5302,0.5,-0.2401,0.2787,0.9081,0.0032,0.0072,0.4964,20
97,china,0.4736,0.75,-0.1906,0.4767,0.9401,0.0106,0.0183,0.7446,20
98,us_macro,0.4099,0.75,-0.2826,0.3963,0.9181,0.0033,0.0113,0.5141,20
99,tech,0.3696,0.6,-0.4521,-0.0517,0.9164,0.0022,0.0047,0.3696,20
100,money_market,0.8163,0.5,0.0965,0.379,0.9294,0.0033,0.0079,0.7938,20
