id,ticker,language,question,answer,source_file,source_sentence_id,source_tag
03067_qa_00001,03067,en,What fees and charges apply to ETF 03067?,Charges incurred when trading the HS TECH ETF on SEHK Fee What you pay Brokerage fee Transaction levy Trading fee Stamp duty Inter-counter transfer fee Market Rate 0.0027%1 of the trading price 0.005%2 of the trading price Nil HKD5 per instruction Ongoing fees payable by the HS TECH ETF The following expenses will be paid out of the HS TECH ETF. Quick facts Stock code: 09067 USD counter 03067 HKD counter Trading lot size: 100 units (for USD and HKD counters) Manager: BlackRock Asset Management North Asia Limited Tr,03067_03067_09067_Product_Key_Facts 2.csv,0.0,fees_charges
03067_qa_00002,03067,en,What risk factors are highlighted in the product key facts for ETF 03067?,New index risk The Underlying Index is a new index. Passive investment risk The HS TECH ETF is passively managed and the Manager will not have the discretion to adapt to market changes due to the inherent investment nature of the HS TECH ETF.,03067_03067_09067_Product_Key_Facts 2.csv,44.0,key_risks
03067_qa_00003,03067,en,What is the stock code of ETF 03067?,The stock code is 09067 USD counter 03067 HKD counter.,multi_csv_aggregate,,fact_extraction
03067_qa_00004,03067,en,What is the derivative exposure framework for ETF 03067?,"The HS TECH ETF may invest in financial derivative instruments (“FDIs”) for non-hedging purposes subject to the limit that the HS TECH ETF’s net derivative exposure does not exceed 50% of the HS TECH ETF’s NAV. The iShares Asia Trust, the iShares Core Hang Seng Index ETF and the iShares Hang Seng TECH ETF have been authorised as collective investment schemes by the Hong Kong Securities and Futures Commission.",03067_03067_09067_Product_Key_Facts 2.csv,21.0,derivatives
03067_qa_00005,03067,en,How closely does ETF 03067 aim to replicate its benchmark?,Investment Strategy The HS TECH ETF is a passively managed fund. A full replication investment strategy involves investing in substantially all the securities (either directly or indirectly) in substantially the same weightings as those securities comprised in the Underlying Index. iShares Hang Seng TECHETF 3 Underlying Index The Underlying Index is a free float adjusted market capitalisation weighted index the objective of which is to represent the 30 largest technology companies listed in Hong Kong which have hig,03067_03067_09067_Product_Key_Facts 2.csv,16.0,objective_strategy
03067_qa_00006,03067,en,What index does ETF 03067 track?,The ETF tracks Hang Seng TECH Index (net total return version).,multi_csv_aggregate,,fact_extraction
03067_qa_00007,03067,zh-HK,這隻ETF的交易與持有成本有哪些（03067）？,"根據基金文件： As investors will pay certain charges (e.g. Charges incurred when trading the HS TECH ETF on SEHK Fee What you pay Brokerage fee Transaction levy Trading fee Stamp duty Inter-counter transfer fee Market Rate 0.0027%1 of the trading price 0.005%2 of the trading price Nil HKD5 per instruction Ongoing fees payable by the HS TECH ETF The following expenses will be paid out of the HS TECH ETF. _______________________________________ # As the HS TECH ETF (as defined below) is newly set up, this figure is a best estimat",03067_03067_09067_Product_Key_Facts 2.csv,0.0,fees_charges_zh
03067_qa_00008,03067,en,What currency-related trading considerations apply to ETF 03067?,Listing Date (SEHK) 23 November 2016 Exchange Listing SEHK – Main Board Stock Code 09115 – USD counter 03115 – HKD counter 83115 – RMB counter Stock Short Names ISHARESHSI-U – USD counter ISHARESHSI – HKD counter ISHARESHSI-R – RMB counter ISIN Numbers HK0000313442 – USD counter HK0000313426 – HKD counter HK0000313434 – RMB counter Trading Board Lot Size 100 Units (for each counter) Base Currency Hong Kong dollars (HKD) Trading Currencies US dollars (USD) – USD counter Hong Kong dollars (HKD) – HKD counter Renminbi,03067_03067_09067_Product_Key_Facts 2.csv,7.0,currency_counter
03067_qa_00009,03067,en,How do HKD and RMB counters work for ETF 03067?,USD counter and HKD counter) to investors for secondary trading purposes. PROSPECTUS iShares Core Hang Seng Index ETF (HKD Counter Stock Code: 03115) (RMB Counter Stock Code: 83115) (USD Counter Stock Code: 09115) iShares Hang Seng TECH ETF (HKD Counter Stock Code: 03067) (USD Counter Stock Code: 09067) iShares Asia Trust A Hong Kong unit trust authorised under Section 104 of the Securities and Futures Ordinance (Cap.,03067_03067_09067_Product_Key_Facts 2.csv,7.0,currency_counter
03067_qa_00010,03067,en,Under what scenarios may ETF 03067 be terminated?,"Investors Buying at a Premium and Early Termination Risk. An applicant may, at any time after a suspension has been declared and before termination of such suspension, withdraw any Creation or Redemption Application by notice in writing to the Manager and the Trustee shall cause the return of any Securities and/or cash received by it in respect of the Application (without interest). Reliance on market maker risks  Although the Manager will use its best endeavours to put in place arrangements so that at least one m",03067_03067_09067_Product_Key_Facts 2.csv,81.0,termination
