id,ticker,language,question,answer,source_file,source_sentence_id,source_tag
03450_qa_00001,03450,en,What fees and charges apply to ETF 03450?,"Investors of Listed Class of Units in the secondary market will not bear such transaction fees and duties and charges (but for the avoidance of doubt, may bear other fees, such as SEHK trading fees). As the Listed Class of Units of the Sub-Fund adopts a single management fee structure, the estimated ongoing charges of the Listed Class of Units of the Sub-Fund will be equal to the amount of the single management fee, which is capped at 0.30% of the average Net Asset Value of the Listed Class of Units of the Sub-Fund",03450_PRODUCT_KEY_FACTS.csv,5.0,fees_charges
03450_qa_00002,03450,en,What risk factors are highlighted in the product key facts for ETF 03450?,New index risk The Underlying Index is a new index. The Manager will monitor and seek to manage such risk in minimising tracking error.,03450_PRODUCT_KEY_FACTS.csv,68.0,key_risks
03450_qa_00003,03450,en,What is the stock code of ETF 03450?,The stock code is HKD counter: 3450 USD counter: 9450 Trade lot size: HKD counter: 50 Units USD counter: 50 Units.,multi_csv_aggregate,,fact_extraction
03450_qa_00004,03450,en,What is the derivative exposure framework for ETF 03450?,Approval of resumption by Securities and Futures Commission (SFC) 2. ^ Trading in the shares of the se companies has been suspended pursuant to the direction of the Securities and Futures Commission under section 8(1) of the Securities and Futures (Stock Market Listing) Rules.,03450_GEM.csv,13.0,derivatives
03450_qa_00005,03450,en,How closely does ETF 03450 aim to replicate its benchmark?,"Investment strategy In seeking to achieve the Sub -Fund’s investment objective, the Manager will adopt a representative sampling strategy and hold a representative sample of the constituent securities of the Underlying Index (“Index Securities”) selected by the Manager using rule-based quantitative analytical models to derive a portfolio sample (the “Representative Sampling Strategy”). The investment strategy of the Sub-Fund is subject to the investment and borrowing restrictions set out in Part 1 of the Prospectus",03450_PRODUCT_KEY_FACTS.csv,24.0,objective_strategy
03450_qa_00006,03450,en,What index does ETF 03450 track?,The ETF tracks Mirae Asset US Treasury 3-5 Year Index.,multi_csv_aggregate,,fact_extraction
03450_qa_00007,03450,zh-HK,這隻ETF的交易與持有成本有哪些（03450）？,"根據基金文件：The Net Asset Value per Unit of each of the Listed Class of Units and Unlisted Classes of Units may be different due to different fees and cost applicable to each class. Investors of Listed Class of Units in the secondary market will not bear such transaction fees and duties and charges (but for the avoidance of doubt, may bear other fees, such as SEHK trading fees). Administrator: Citibank, N.A., Hong Kong Branch Ongoing charges over a year*: Estimated to be 0.30% Estimated annual tracking difference^: -0.50% Unde",03450_PRODUCT_KEY_FACTS.csv,5.0,fees_charges_zh
03450_qa_00008,03450,en,What currency-related trading considerations apply to ETF 03450?,571) of Hong Kong) Global X MSCI China ETF (USD Counter Stock Code: 9040 HKD Counter Stock Code: 3040) Global X Hang Seng High Dividend Yield ETF (RMB Counter Stock Code: 83110 HKD Counter Stock Code: 3110) Global X China Biotech ETF (USD Counter Stock Code: 9820 HKD Counter Stock Code: 2820) Global X China Cloud Computing ETF (USD Counter Stock Code: 9826 HKD Counter Stock Code: 2826) Global X Hang Seng ESG ETF (Stock Code: 3029) Global X EV and Humanoid Robot Active ETF (Stock Code: 3139) Global X AI & Innovative,03450_PRODUCT_KEY_FACTS.csv,4.0,currency_counter
03450_qa_00009,03450,en,How do HKD and RMB counters work for ETF 03450?,"Each Investment Fund will be an exchange traded fund listed on the SEHK, but it may issue both Listed Class of Units (which will be listed on the SEHK and, where indicated in the relevant Appendix, may be available for trading on the SEHK using a Dual Counter or Multi-Counter) and Unlisted Class of Units (which will not be listed on the SEHK). Dual counter risk The market price of Listed Class of Units traded in each counter may deviate significantly.",03450_PRODUCT_KEY_FACTS.csv,4.0,currency_counter
03450_qa_00010,03450,en,Under what scenarios may ETF 03450 be terminated?,"As soon as reasonably practicable after the termination of suspension, the Manager shall publish a notice of such termination on the website maintained by the Manager for the Investment Fund or through such other means as the Manager considers appropriate. In the event of the early termination of an Investment Fund, the Investment Fund would have to distribute to the Unitholders their pro rata interest in the assets of the Investment Fund in accordance with the Trust Deed. Termination risk The Sub-Fund may be termi",03450_PRODUCT_KEY_FACTS.csv,126.0,termination
