id,ticker,language,question,answer,source_file,source_sentence_id,source_tag
02826_qa_00001,02826,en,What are the key trading and ongoing costs for ETF 02826?,"This tracking error may result from the investment strategy used, and fees and expenses. trading fees and brokerage fees) to bu y or sell Units on the SEHK, investors may pay more than the net asset value per Unit when buying Units on the SEHK, and may receive less than the net asset value per Unit when selling Units on the SEHK. Administrator Citibank, N.A., Hong Kong Branch Ongoing charges over a year*: 0.68% Estimated annual tracking difference^: -2.00% Underlying Index: Solactive China Cloud Computing Index NTR",02826_Key_Facts_Statement.csv,5.0,fees_charges
02826_qa_00002,02826,en,Which risks could cause losses for ETF 02826 investors?,General investment risk  The Sub-Fund’s investment portfolio may fall in value due to any of the key risk factors below and therefore your investment in the Sub -Fund may suffer losses.  Market volatility and potential lack of liquidity may result in prices of securities traded on A -Shares market to fluctuate significantly resulting in substantial changes in the Sub-Fund’s net asset value.,02826_Key_Facts_Statement.csv,44.0,key_risks
02826_qa_00003,02826,en,What is the stock code of ETF 02826?,The stock code is HKD counter: 2826 USD counter: 9826 Trade lot size: HKD counter: 50 Units USD counter: 50 Units.,multi_csv_aggregate,,fact_extraction
02826_qa_00004,02826,en,How are futures/options/warrants addressed in ETF 02826 documentation?,^ Trading in the shares of the se companies has been suspended pursuant to the direction of the Securities and Futures Commission under section 8(1) of the Securities and Futures (Stock Market Listing) Rules. # This website has not been reviewed or approved by the Securities and Futures Commission (the “SFC”).,02826_GEM.csv,13.0,derivatives
02826_qa_00005,02826,en,What are the key risks investors should know for ETF 02826?,Passive investment risk  The Sub-Fund is passively managed and the Manager will not have the discretion to adapt to market changes due to the inherent investment nature of the Sub -Fund. General investment risk  The Sub-Fund’s investment portfolio may fall in value due to any of the key risk factors below and therefore your investment in the Sub -Fund may suffer losses.,02826_Key_Facts_Statement.csv,44.0,key_risks
02826_qa_00006,02826,zh-HK,這隻ETF在文件中如何規範期貨、期權及認股權證（02826）？,根據基金文件：^ Trading in the shares of the se companies has been suspended pursuant to the direction of the Securities and Futures Commission under section 8(1) of the Securities and Futures (Stock Market Listing) Rules. # This website has not been reviewed or approved by the Securities and Futures Commission (the “SFC”).,02826_GEM.csv,13.0,derivatives_zh
02826_qa_00007,02826,zh-HK,這隻ETF的交易與持有成本有哪些（02826）？,"根據基金文件：This tracking error may result from the investment strategy used, and fees and expenses. trading fees and brokerage fees) to bu y or sell Units on the SEHK, investors may pay more than the net asset value per Unit when buying Units on the SEHK, and may receive less than the net asset value per Unit when selling Units on the SEHK. Administrator Citibank, N.A., Hong Kong Branch Ongoing charges over a year*: 0.68% Estimated annual tracking difference^: -2.00% Underlying Index: Solactive China Cloud Computing Index NTR",02826_Key_Facts_Statement.csv,5.0,fees_charges_zh
02826_qa_00008,02826,en,What dual-counter risks should investors know for ETF 02826?,571) of Hong Kong) Global X MSCI China ETF (USD Counter Stock Code: 9040 HKD Counter Stock Code: 3040) Global X Hang Seng High Dividend Yield ETF (RMB Counter Stock Code: 83110 HKD Counter Stock Code: 3110) Global X China Biotech ETF (USD Counter Stock Code: 9820 HKD Counter Stock Code: 2820) Global X China Cloud Computing ETF (USD Counter Stock Code: 9826 HKD Counter Stock Code: 2826) Global X Hang Seng ESG ETF (Stock Code: 3029) Global X EV and Humanoid Robot Active ETF (Stock Code: 3139) Global X AI & Innovative,02826_Key_Facts_Statement.csv,4.0,currency_counter
02826_qa_00009,02826,zh-HK,哪些風險可能導致這隻ETF出現虧損（02826）？,根據基金文件：General investment risk  The Sub-Fund’s investment portfolio may fall in value due to any of the key risk factors below and therefore your investment in the Sub -Fund may suffer losses.  Market volatility and potential lack of liquidity may result in prices of securities traded on A -Shares market to fluctuate significantly resulting in substantial changes in the Sub-Fund’s net asset value.,02826_Key_Facts_Statement.csv,44.0,key_risks_zh
02826_qa_00010,02826,en,How does low NAV affect termination risk for ETF 02826?,"On the termination of an Investment Fund, the Investment Fund will be liquidated and investors will receive distributions of cash although the Manager has the power to decide to make distributions in specie. In the event of the early termination of an Investment Fund, the Investment Fund would have to distribute to the Unitholders their pro rata interest in the assets of the Investment Fund in accordance with the Trust Deed.",02826_Key_Facts_Statement.csv,105.0,termination
02826_qa_00011,02826,en,What currency-related trading considerations apply to ETF 02826?,"Administrator Citibank, N.A., Hong Kong Branch Ongoing charges over a year*: 0.68% Tracking difference of the last calendar year^: -0.72% Underlying Index: Solactive China Cloud Computing Index NTR Base currency: Renminbi (RMB) Trading currency: HKD counter: Hong Kong dollars (HKD) USD counter: United States dollars (USD) Dividend policy: Global X China Cloud Computing ETF aims to pay annual cash distribution (in May each year) at the Manager’s discretion. 571) of Hong Kong) Global X MSCI China ETF (USD Counter Sto",02826_Key_Facts_Statement.csv,4.0,currency_counter
02826_qa_00012,02826,en,Are dividend payouts guaranteed for ETF 02826?,The amount or rate of distribution (if any) is not guaranteed. 571) of Hong Kong) Global X MSCI China ETF (USD Counter Stock Code: 9040 HKD Counter Stock Code: 3040) Global X Hang Seng High Dividend Yield ETF (RMB Counter Stock Code: 83110 HKD Counter Stock Code: 3110) Global X China Biotech ETF (USD Counter Stock Code: 9820 HKD Counter Stock Code: 2820) Global X China Cloud Computing ETF (USD Counter Stock Code: 9826 HKD Counter Stock Code: 2826) Global X Hang Seng ESG ETF (Stock Code: 3029) Global X EV and Humano,02826_Key_Facts_Statement.csv,5.0,dividend
02826_qa_00013,02826,en,"Does ETF 02826 use derivatives, and what are the limits?","3 The Underlying Index is distributed under the following identifiers: Name ISIN WKN Reuters Bloomberg Solactive China Cloud Computing Index NTR DE000SLA7240 SLA724.SOLCCCN SOLCCCN Index Use of derivatives / Investment in derivatives The Sub-Fund’s net derivative exposure may be up to 50% of the Sub -Fund’s net asset value. Currently, the Sub-Fund has no intention to use any financial derivative instruments for investment purposes, but may use financial derivative instruments for hedging purposes only. use syntheti",02826_GEM.csv,13.0,derivatives
02826_qa_00014,02826,zh-HK,這隻ETF的產品資料概要重點風險有哪些（02826）？,"根據基金文件：The Sub -Fund invests in PRC companies which may involve increased risks and special considerations not typically associated with investment in more developed markets, such as liquidity risk, currency risks / control, political and economic uncertainties, legal and taxation risks, settlement risks, custody risk and the likelihood of a high degree of volatility. Tracking error risk  The Sub-Fund may be subject to tracking error risk, which is the risk that its performance may not track that of the Underlying Index",02826_Key_Facts_Statement.csv,44.0,key_risks_zh
02826_qa_00015,02826,zh-HK,這隻ETF是否使用衍生工具，以及有甚麼限制（02826）？,"根據基金文件：3 The Underlying Index is distributed under the following identifiers: Name ISIN WKN Reuters Bloomberg Solactive China Cloud Computing Index NTR DE000SLA7240 SLA724.SOLCCCN SOLCCCN Index Use of derivatives / Investment in derivatives The Sub-Fund’s net derivative exposure may be up to 50% of the Sub -Fund’s net asset value. Currently, the Sub-Fund has no intention to use any financial derivative instruments for investment purposes, but may use financial derivative instruments for hedging purposes only. use syntheti",02826_GEM.csv,13.0,derivatives_zh
02826_qa_00016,02826,zh-HK,這隻ETF追蹤哪個指數（02826）？,根據基金文件：The ETF tracks Solactive China Cloud Computing Index NTR.,multi_csv_aggregate,,fact_extraction_zh
02826_qa_00017,02826,zh-HK,這隻ETF面對哪些股票市場風險（02826）？,"根據基金文件：Equity market risk The Sub-Fund’s investment in equity securities is subject to general market risks, whose value may fluctuate due to various factors, such as changes in investment sentiment, political and economic conditions and issuer - specific factors.",02826_PRODUCT_KEY_FACTS.csv,71.0,single_sentence_zh
02826_qa_00018,02826,zh-HK,這隻ETF有哪些主要風險（02826）？,根據基金文件：Passive investment risk  The Sub-Fund is passively managed and the Manager will not have the discretion to adapt to market changes due to the inherent investment nature of the Sub -Fund. General investment risk  The Sub-Fund’s investment portfolio may fall in value due to any of the key risk factors below and therefore your investment in the Sub -Fund may suffer losses.,02826_Key_Facts_Statement.csv,44.0,key_risks_zh
02826_qa_00019,02826,zh-HK,這隻ETF如何執行其追蹤策略（02826）？,"根據基金文件：On the termination of an Investment Fund, the Investment Fund will be liquidated and investors will receive distributions of cash although the Manager has the power to decide to make distributions in specie. In the event of the early termination of an Investment Fund, the Investment Fund would have to distribute to the Unitholders their pro rata interest in the assets of the Investment Fund in accordance with the Trust Deed.",02826_Key_Facts_Statement.csv,105.0,termination_zh
02826_qa_00020,02826,zh-HK,這隻ETF在甚麼情況下可能被終止（02826）？,"根據基金文件：Unless otherwise disclosed in the section headed “Investment Objectives and Policies” section for the relevant Investment Fund and/or agreed/waived by the Commission in writing, each of the Investment Fund(s) is subject to the following principal investment restrictions:- (a) the aggregate value of an Investment Fund’s investments in, or exposure to, any single entity through the following may not exceed 10% of the Net Asset Value of such Investment Fund, save as permitted by Chapter 8.6(h) and as varied by Chapter",02826_Key_Facts_Statement.csv,105.0,termination_zh
02826_qa_00021,02826,en,Is ETF 02826 actively managed or passive?,Passive investment risk  The Sub-Fund is passively managed and the Manager will not have the discretion to adapt to market changes due to the inherent investment nature of the Sub -Fund.,02826_Key_Facts_Statement.csv,90.0,single_sentence
02826_qa_00022,02826,zh-HK,這隻ETF的股票代號是甚麼（02826）？,根據基金文件：The stock code is HKD counter: 2826 USD counter: 9826 Trade lot size: HKD counter: 50 Units USD counter: 50 Units.,multi_csv_aggregate,,fact_extraction_zh
