id,ticker,language,question,answer,source_file,source_sentence_id,source_tag
03001_qa_00001,03001,en,What are the key trading and ongoing costs for ETF 03001?,"Please refer to “Ongoing fees payable by the Sub-Fund” below and the Prospectus for details. In the event that the relevant Unitholder has no USD account, the Unitholder may have to bear the fees and charges associated with the conversion of such distribution from USD to HKD or RMB. Quick facts Stock codes: 09001 – USD counter 03001 – HKD counter 83001 – RMB counter Trading lot size: 5 Units – USD counter 5 Units – HKD counter 5 Units – RMB counter Manager: Premia Partners Company Limited Trustee: HSBC Institutiona",03001_Product_Key_Facts.csv,4.0,fees_charges
03001_qa_00002,03001,en,Which risks could cause losses for ETF 03001 investors?,General investment risk The Sub-Fund’s investment portfolio may fall in value due to any of the key risk factors below and therefore your investment in the Sub-Fund may suffer losses. The price volatility of the Sub - Fund may be greater than the price volatility of exchange traded funds tracking more broad - based indices.,03001_Product_Key_Facts.csv,72.0,key_risks
03001_qa_00003,03001,en,What index does ETF 03001 track?,The ETF tracks ICE 1-7 Year USD China Senior Real Estate Corporate Constrained Index.,multi_csv_aggregate,,fact_extraction
03001_qa_00004,03001,en,How are futures/options/warrants addressed in ETF 03001 documentation?,"There is no current intention for the Sub -Fund to (i) engage in sale and repurchase transaction, reverse repurchase transactions and/or other similar over-the-counter transactions or (ii) invest in any financial derivative instruments for hedging or non -hedging (i.e. Premia ETF Series (a Hong Kong umbrella unit trust authorised under Section 104 of the Securities and Futures Ordinance (Cap.",03001_GEM.csv,13.0,derivatives
03001_qa_00005,03001,en,What are the key risks investors should know for ETF 03001?,Volatility and liquidity risk The debt securities in the PRC market may be subject to higher volatility and lower liquidity compared to more developed markets. General investment risk The Sub-Fund’s investment portfolio may fall in value due to any of the key risk factors below and therefore your investment in the Sub-Fund may suffer losses.,03001_Product_Key_Facts.csv,72.0,key_risks
03001_qa_00006,03001,zh-HK,這隻ETF在文件中如何規範期貨、期權及認股權證（03001）？,"根據基金文件：There is no current intention for the Sub -Fund to (i) engage in sale and repurchase transaction, reverse repurchase transactions and/or other similar over-the-counter transactions or (ii) invest in any financial derivative instruments for hedging or non -hedging (i.e. Premia ETF Series (a Hong Kong umbrella unit trust authorised under Section 104 of the Securities and Futures Ordinance (Cap.",03001_GEM.csv,13.0,derivatives_zh
03001_qa_00007,03001,zh-HK,這隻ETF的交易與持有成本有哪些（03001）？,"根據基金文件：Please refer to “Ongoing fees payable by the Sub-Fund” below and the Prospectus for details. In the event that the relevant Unitholder has no USD account, the Unitholder may have to bear the fees and charges associated with the conversion of such distribution from USD to HKD or RMB. Quick facts Stock codes: 09001 – USD counter 03001 – HKD counter 83001 – RMB counter Trading lot size: 5 Units – USD counter 5 Units – HKD counter 5 Units – RMB counter Manager: Premia Partners Company Limited Trustee: HSBC Institutiona",03001_Product_Key_Facts.csv,4.0,fees_charges_zh
03001_qa_00008,03001,en,What dual-counter risks should investors know for ETF 03001?,Index CSI Caixin Rayliant Bedrock Economy Index Type of Index Total return Listing Date (SEHK) 24 October 2017 Exchange Listing SEHK – Main Board Stock Code 09803 – USD counter 02803 – HKD counter Trading Board Lot Size 500 Units – USD counter 500 Units – HKD counter Base Currency Renminbi (RMB) Trading Currency Hong Kong dollars (HKD) United States dollars (USD) Distribution Policy The Manager intends to pay distributions to Unitholders at least annually (in July each year). The units in the RMB counter are RMB de,03001_Product_Key_Facts.csv,4.0,currency_counter
03001_qa_00009,03001,zh-HK,哪些風險可能導致這隻ETF出現虧損（03001）？,根據基金文件：General investment risk The Sub-Fund’s investment portfolio may fall in value due to any of the key risk factors below and therefore your investment in the Sub-Fund may suffer losses. The price volatility of the Sub - Fund may be greater than the price volatility of exchange traded funds tracking more broad - based indices.,03001_Product_Key_Facts.csv,72.0,key_risks_zh
03001_qa_00010,03001,en,How does low NAV affect termination risk for ETF 03001?,"The Manager shall consider any subscription, switch or redemption application received during the period of suspension (that has not been otherwise withdrawn) as having been received immediately following the termination of the suspension. If the Manager has not received any such notification of withdrawal of such Application before termination of such suspension, the Trustee shall, subject to and in accordance with the provisions of the Trust Deed, create and issue Listed Class of Units or redeem Listed Class of U",03001_Product_Key_Facts.csv,135.0,termination
03001_qa_00011,03001,en,What currency-related trading considerations apply to ETF 03001?,"Information Available on the Internet The Manager will publish important news and information with respect to each Sub-Fund (including in respect of the relevant Index), in the English and Chinese languages (unless otherwise specified), on the following website www.premia-partners.com (which has not been reviewed by the SFC) and, where applicable, HKEx’s website www.hkex.com.hk including: (a) this Prospectus and the Product Key Facts Statement in respect of each of the Sub -Funds (as revised from time to time); (b)",03001_Product_Key_Facts.csv,4.0,currency_counter
03001_qa_00012,03001,en,Are dividend payouts guaranteed for ETF 03001?,"Where distributions are made out of capital (including where the Sub -Fund pays dividend out of gross income and charges/pays all or part of the fees and expenses to/out of capital) or effectively out of capital, this may result in an immediate reduction in the Net Asset Value per Unit. No action has been taken to permit an offering of Units or the distribution of this Prospectus in any jurisdiction other than Hong Kong and, accordingly, this Prospectus does not constitute an offer or solicitation to anyone in any",03001_Product_Key_Facts.csv,4.0,dividend
03001_qa_00013,03001,en,"Does ETF 03001 use derivatives, and what are the limits?",Inform market of material information Link to HKEXnews 62 Dashan Education Holdings Limited (9986) ^ 28-Nov-2025 27-May-2027 Approval of resumption by Securities and Futures Commission (SFC) Link to HKEXnews Posted on 31 March 2026 No Long suspended Main Board companies Date of suspension End date of remedial period Resumption conditions or guidance / Major issues to be addressed Announcements published by the company 63 Arrail Group Limited (6639) 1-Dec-2025 31-May-2027 1. Approval of resumption by Securities and,03001_GEM.csv,13.0,derivatives
03001_qa_00014,03001,zh-HK,這隻ETF的產品資料概要重點風險有哪些（03001）？,根據基金文件：Concentration / PRC market risks The Sub-Fund’s investments are concentrated in debts issued by Chinese property developers with a significant exposure to the PRC market and have a focus on the Securities that are below investment grade. New Index Risk The Index is a new index.,03001_Product_Key_Facts.csv,72.0,key_risks_zh
03001_qa_00015,03001,zh-HK,這隻ETF是否使用衍生工具，以及有甚麼限制（03001）？,根據基金文件：Inform market of material information Link to HKEXnews 62 Dashan Education Holdings Limited (9986) ^ 28-Nov-2025 27-May-2027 Approval of resumption by Securities and Futures Commission (SFC) Link to HKEXnews Posted on 31 March 2026 No Long suspended Main Board companies Date of suspension End date of remedial period Resumption conditions or guidance / Major issues to be addressed Announcements published by the company 63 Arrail Group Limited (6639) 1-Dec-2025 31-May-2027 1. Approval of resumption by Securities and,03001_GEM.csv,13.0,derivatives_zh
03001_qa_00016,03001,zh-HK,這隻ETF的基礎貨幣是甚麼（03001）？,根據基金文件：The base currency is United States Dollar (USD) Trading currency: United States dollars (USD) Hong Kong dollars (HKD) Renminbi (RMB).,multi_csv_aggregate,,fact_extraction_zh
03001_qa_00017,03001,zh-HK,這隻ETF面對哪些股票市場風險（03001）？,根據基金文件：Equity Risk Investment in equity Securities by a Sub -Fund (where permitted) may offer a higher rate of return than a fund investing in short term and longer term debt securities.,03001_Prospectus.csv,1002.0,single_sentence_zh
03001_qa_00018,03001,zh-HK,這隻ETF有哪些主要風險（03001）？,根據基金文件：Volatility and liquidity risk The debt securities in the PRC market may be subject to higher volatility and lower liquidity compared to more developed markets. General investment risk The Sub-Fund’s investment portfolio may fall in value due to any of the key risk factors below and therefore your investment in the Sub-Fund may suffer losses.,03001_Product_Key_Facts.csv,72.0,key_risks_zh
03001_qa_00019,03001,zh-HK,這隻ETF如何執行其追蹤策略（03001）？,"根據基金文件：This tracking error may result from the investment strategy used and/or fees and expenses. Objective and investment strategy Objective The investment objective of the Sub -Fund is to provide investment results that, before fees and expenses, closely correspond to the performance of the ICE 1 -7 Year USD China Senior Real Estate Corporate Constrained Index (the “Index”).",03001_Notice_and_Announcement.csv,19.0,objective_strategy_zh
03001_qa_00020,03001,zh-HK,這隻ETF在甚麼情況下可能被終止（03001）？,"根據基金文件：In respect of Unlisted Class of Units, any subscription, switch or redemption application submitted prior to a suspension may be withdrawn at any time after such suspension has been declared and before termination of such suspension by notice in writing to the Manager and the Manager shall promptly notify the Trustee accordingly. The Manager shall consider any subscription, switch or redemption application received during the period of suspension (that has not been otherwise withdrawn) as having been received immed",03001_Product_Key_Facts.csv,135.0,termination_zh
03001_qa_00021,03001,en,Is ETF 03001 actively managed or passive?,Passive Investment Risk The Sub-Funds are not actively managed.,03001_Prospectus.csv,976.0,single_sentence
03001_qa_00022,03001,zh-HK,這隻ETF追蹤哪個指數（03001）？,根據基金文件：The ETF tracks ICE 1-7 Year USD China Senior Real Estate Corporate Constrained Index.,multi_csv_aggregate,,fact_extraction_zh
03001_qa_00023,03001,en,When are dividends generally paid for ETF 03001?,"In the event that the relevant Unitholder has no USD account, the Unitholder may have to bear the fees and charges associated with the conversion of such distribution from USD to HKD or RMB. No action has been taken to permit an offering of Units or the distribution of this Prospectus in any jurisdiction other than Hong Kong and, accordingly, this Prospectus does not constitute an offer or solicitation to anyone in any jurisdiction in which such offer is not authorised or to any person to whom it is unlawful to mak",03001_Product_Key_Facts.csv,4.0,dividend
03001_qa_00024,03001,en,What risk factors are highlighted in the product key facts for ETF 03001?,Concentration / PRC market risks The Sub-Fund’s investments are concentrated in debts issued by Chinese property developers with a significant exposure to the PRC market and have a focus on the Securities that are below investment grade. New Index Risk The Index is a new index.,03001_Product_Key_Facts.csv,72.0,key_risks
