id,ticker,language,question,answer,source_file,source_sentence_id,source_tag
03175_qa_00001,03175,en,What fees and charges apply to ETF 03175?,"Participating Dealers are under no obligations to create or redeem Units for their clients and may impose terms, including charges, for handling creation or redemption orders as they determine appropriate, as described in more detail in this section. “Duties and Charges” means, in relation to any particular transaction or dealing, all stamp and other duties, taxes, government charges, brokerage, bank charges, transfer fees, registration fees, transaction levies and other duties and charges w hether in connection wi",03175_3175_Prospectus 2.csv,42.0,fees_charges
03175_qa_00002,03175,en,What risk factors are highlighted in the product key facts for ETF 03175?,"Movement in the prices of futures may be highly volatile. The global markets are currently experiencing very high levels of volatility and instability, resulting in higher levels of risk than is customary (including settlement and counterparty risks).",03175_3175_Prospectus 2.csv,3.0,key_risks
03175_qa_00003,03175,en,What is the stock code of ETF 03175?,The stock code is 03175.,multi_csv_aggregate,,fact_extraction
03175_qa_00004,03175,en,What is the derivative exposure framework for ETF 03175?,Investment in the Sub -Fund is only suitable to those investors who are in a financial position to assume the risks involved in futures investments. Movement in the prices of futures may be highly volatile.,03175_3175_Prospectus 2.csv,1.0,derivatives
03175_qa_00005,03175,en,How closely does ETF 03175 aim to replicate its benchmark?,"(c) Buying or selling of Units in the secondary market on the SEHK – After Listing Summary of offering methods and related fees Initial Offer Period Method of Offering Minimum Number of Units (or multiple thereof) Channel Available to Consideration, Fees and Charges* Cash creation in RMB or HKD only, as applicable to the Sub-Fund Application Unit size (see relevant Appendix) Through Participating Dealers only in RMB or HKD, as applicable (or, if the relevant Participating Dealer agrees, in another currency) Any per",03175_3175_Prospectus 2.csv,42.0,objective_strategy
03175_qa_00006,03175,en,What index does ETF 03175 track?,The ETF tracks S&P GSCI Crude Oil Multiple Contract 55/30/15 1M/2M/3M (USD) ER Index (“ER” or “Excess Return” does not mean any additional return on the Sub-Fund’s performance).,multi_csv_aggregate,,fact_extraction
03175_qa_00007,03175,zh-HK,這隻ETF的交易與持有成本有哪些（03175）？,"根據基金文件：(c) Buying or selling of Units in the secondary market on the SEHK – After Listing Summary of offering methods and related fees Initial Offer Period Method of Offering Minimum Number of Units (or multiple thereof) Channel Available to Consideration, Fees and Charges* Cash creation in RMB or HKD only, as applicable to the Sub-Fund Application Unit size (see relevant Appendix) Through Participating Dealers only in RMB or HKD, as applicable (or, if the relevant Participating Dealer agrees, in another currency) Any per",03175_3175_Prospectus 2.csv,42.0,fees_charges_zh
03175_qa_00008,03175,en,What currency-related trading considerations apply to ETF 03175?,"(c) Buying or selling of Units in the secondary market on the SEHK – After Listing Summary of offering methods and related fees Initial Offer Period Method of Offering Minimum Number of Units (or multiple thereof) Channel Available to Consideration, Fees and Charges* Cash creation in RMB or HKD only, as applicable to the Sub-Fund Application Unit size (see relevant Appendix) Through Participating Dealers only in RMB or HKD, as applicable (or, if the relevant Participating Dealer agrees, in another currency) Any per",03175_3175_Prospectus 2.csv,64.0,currency_counter
03175_qa_00009,03175,en,How do HKD and RMB counters work for ETF 03175?,"Units which are created must be deposited in CCASS as RMB counter Units (i.e. Notwithstanding any Dual Counter (if applicable) for Units, all settlement is in either RMB or HKD only as set out in the relevant Appendix.",03175_3175_Prospectus 2.csv,64.0,currency_counter
03175_qa_00010,03175,en,Under what scenarios may ETF 03175 be terminated?,"Notice of the termination of the Trust or the Sub -Fund(s) will be given to the Unitholders after the SFC has approved the notice. Where the Sub -Fund remains authorised by the SFC, such procedures required by the Code will be observed by the Manager including as to notices to Unitholde rs, withdrawal of authorisation and termination, as may be applicable. The Manager shall consider any Redemption Application or any Creation Application received during the period of suspension (that has not been otherwise withdrawn",03175_3175_Prospectus 2.csv,286.0,termination
