sentence_id,text
0,1 Product Key Facts CHINAAMC ASIA USD INVESTMENT GRADE BOND ETF (Listed Class) A sub-fund established under the ChinaAMC Global ETF Series II China Asset Management (Hong Kong) Limited 23 December 2024 This is a passive exchange traded fund.
1,This statement provides you with key information about this product.
2,This statement is a part of the offering document.
3,You should not invest in this product based on this statement alone.
4,"Quick facts Stock code: 3141 – HKD counter 9141 – USD counter Trading lot size: 200 Units – HKD counter 200 Units – USD counter Manager: China Asset Management (Hong Kong) Limited Investment Delegate: Mackenzie Financial Corporation – Canada (external delegation) Trustee: State Street Trust (HK) Limited Registrar: Tricor Investor Services Limited Ongoing charges 0.35%# over a year: Tracking difference -0.22%## of the last calendar year: Index: Bloomberg Asia USD Investment Grade Bond Index Base currency: HKD Trading currency: HKD – HKD counter USD – USD counter Financial year end: 31 December Dividend policy: The Manager intends to distribute income to unitholders at least quarterly (usually in March, June, September and December of each year)."
5,"There is no guarantee of regular distribution payments, or the amount being distributed."
6,Distributions may be paid out of capital or effectively out of capital as well as income at the Manager’s discretion .
7,This may result in an # The ongoing charges figure is based on expenses for the year ended 31 December 2023.
8,This figure may vary from year to year.
9,It represents the sum of the ongoing expenses chargeable to the Sub-Fund expressed as a percentage of the Sub-Fund’s average net asset value.
10,## This is the actual tracking difference of the calendar year ended 31 December 2023.
11,Investors should refer to the website of the Sub-Fund for more up-to-date information on actual tracking difference.
12,2 immediate reduction of the NAV per unit of the Sub-Fund.
13,Distributions on all Units (whether traded in HKD or USD counter) will be in HKD only ###.
14,ETF website: www.chinaamc.com.hk #### What is this product?
15,ChinaAMC Asia USD Investment Grade Bond ETF (the “ Sub-Fund”) is a fund constituted in the form of a unit trust established under Hong Kong law and is a sub-fund of the ChinaAMC Global ETF Series II.
16,The Sub-Fund is a passively managed index tracking exchange traded fund falling under Chapter 8.6 of the Code on Unit Trusts and Mutual Funds issued by the SFC.
17,The Sub-Fund offers both listed class of Units (the “Listed Class of Units”) and unlisted classes of Units (the “Unlisted Classes of Units”).
18,"This statement contains information about the offering of the Listed Class of Units, and unless otherwise specified, references to “Units” in this statement shall refer to the “Listed Class of Units”."
19,Investors should refer to a separate statement for the offering of the Unlisted Classes of Units.
20,The Listed Class of Units are listed on The Stock Exchange of Hong Kong Limited (the “SEHK”).
21,These Units are traded on the SEHK like listed stocks.
