domain,concepts,avg_topk_jaccard,avg_top1_consistency,avg_score_corr_ticker_pearson,avg_score_corr_ticker_spearman,avg_rank_score_corr,avg_score_gap_delta,avg_score_spread,avg_tie_bucket_jaccard
china,1,0.506,0.8,-0.1038,0.4818,0.9919,0.0037,0.0149,0.725
commodity,1,0.7667,0.8,0.5023,0.6514,0.8691,0.012,0.089,0.4467
credit,1,0.4857,0.6,-0.29,0.3143,0.9006,0.0033,0.0077,0.4533
crypto,1,0.7667,1.0,0.3301,0.8029,0.9946,0.0043,0.0192,1.0
equity,1,0.4976,1.0,-0.2138,0.156,0.8998,0.0025,0.0062,0.4976
fx,1,0.6048,1.0,-0.1052,0.476,0.8904,0.0024,0.008,0.6457
money_market,1,1.0,0.4,0.3367,0.34,0.8857,0.0022,0.0063,1.0
rates,1,0.7,0.8,0.0205,0.4514,0.9538,0.0049,0.0118,0.505
tech,1,0.4762,0.8,-0.3272,0.1519,0.9456,0.0029,0.0056,0.4762
us_macro,1,0.3667,1.0,-0.248,0.4043,0.9112,0.0022,0.0109,0.425
